 (Half Day), (نیم روز)
Inspected By,بازرسی توسط
Inspection Criteria,معیارهای بازرسی
Inspection Required,بازرسی مورد نیاز
Inspection Type,نوع بازرسی
Installation Date,تاریخ نصب
Installation Note,توجه داشته باشید نصب و راه اندازی
Installation Note Item,نصب مورد توجه
Installation Status,وضعیت نصب
Installation Time,زمان نصب
Installation record for a Serial No.,نصب ضبط برای شماره سریال
Installed Qty,تعداد نصب شده
Instructions,دستورالعمل
Int,دانشنامه هوشمند
Integrations,یکپارچگی
Interested,علاقه مند به
Internal,داخلی
Introduce your company to the website visitor.,معرفی شرکت خود را به بازدید کنندگان وب سایت.
Introduction,مقدمه
Introductory information for the Contact Us Page,اطلاعات مقدماتی برای تماس با ما صفحه
Invalid Barcode,بارکد معتبر
Invalid Delivery Note. Delivery Note should exist and should be in 				draft state. Please rectify and try again.,توجه داشته باشید تحویل نامعتبر. تحویل توجه باید وجود داشته باشد و باید در حالت پیش نویس. اصلاح و دوباره سعی کنید.
Invalid Email,ایمیل اشتباه
Invalid Email Address,آدرس ایمیل نامعتبر
Invalid Leave Approver,Approver ترک نامعتبر
Invalid Serial No.,شماره سریال معتبر
Inventory,موجودی
Inverse,معکوس
Invoice Date,تاریخ فاکتور
Invoice Details,جزئیات فاکتور
Invoice No,شماره فاکتور
Invoice Period From Date,فاکتور دوره از تاریخ
Invoice Period To Date,فاکتور دوره تا به امروز
Is Active,فعال است
Is Advance,پیشرفت است
Is Asset Item,اقلام دارایی است
Is Cancelled,لغو شده است
Is Carry Forward,حمل به جلو است
Is Child Table,کودک جدول است
Is Default,پیش فرض است
Is Encash,Encash است
Is LWP,LWP است
Is Mandatory Field,فیلد اجباری است
Is Opening,باز است
Is Opening Entry,ورود باز است
Is PL Account,PL حساب است
Is POS,بوص است
Is Primary Contact,تماس اولیه است
Is Purchase Item,خرید اقلام است
Is Sales Item,فروش اقلام است
Is Service Item,خدمات مورد است
Is Single,مجرد است
Is Standard,استاندارد
Is Stock Item,سهام مورد است
Is Sub Contracted Item,است زیر مورد قرارداد
Is Subcontracted,Subcontracted است
Is Submittable,Submittable است
Is it a Custom DocType created by you?,DocType سفارشی ایجاد شده توسط شما است؟
Is this Tax included in Basic Rate?,این مالیات در نرخ اولیه گنجانده شده است؟
Issue,موضوع
Issue Date,تاریخ صدور
Issue Details,جزئیات مشکل
Issued Items Against Production Order,صدور موارد علیه نظم توليدى
It is needed to fetch Item Details.,آن است که برای دریافت اطلاعات بیشتر در مورد مورد نیاز است.
It was raised because the (actual + ordered + indented - reserved) 						quantity reaches re-order level when the following record was created,این دلیل مطرح شد (واقعی + دستور + فاصله دار - محفوظ است) مقدار می رسد سطح مرتب سازی دوباره رکورد زیر ایجاد شد
Item,قلم دوم از اقلام
Item Advanced,پیشرفته مورد
Item Barcode,بارکد مورد
Item Batch Nos,مورد دسته Nos
Item Classification,طبقه بندي مورد
Item Code,کد کالا
Item Code (item_code) is mandatory because Item naming is not sequential.,دلیل نامگذاری مورد ترتیبی نیست کد کالا (item_code) الزامی است.
Item Code cannot be changed for Serial No.,کد کالا برای شماره سریال قابل تغییر نمی باشد
Item Customer Detail,جزئیات مورد مشتری
Item Description,شرح مورد
Item Desription,Desription مورد
Item Details,اطلاعات بیشتر در مورد
Item Group,گروه مورد
Item Group Name,نام گروه مورد
Item Groups in Details,گروه مورد در جزئیات
Item Image (if not slideshow),مورد تصویر (اگر نه نمایش اسلاید)
Item Name,نام مورد
Item Naming By,مورد نامگذاری توسط
Item Price,آیتم قیمت
Item Prices,قیمت های مورد
Item Quality Inspection Parameter,قلم دوم از اقلام کیفیت بازرسی پارامتر
Item Reorder,دوباره مرتب مورد
Item Serial No,مورد شماره سریال
Item Serial Nos,قلم دوم از اقلام (nos) سریال
Item Shortage Report,مورد گزارش کمبود
Item Supplier,تامین کننده مورد
Item Supplier Details,اطلاعات بیشتر در مورد تامین کننده
Item Tax,قلم دوم از اقلام مالیاتی
Item Tax Amount,مقدار مالیات مورد
Item Tax Rate,نرخ مالیات مورد
Item Tax1,Tax1 مورد
Item To Manufacture,مورد را برای تولید
Item UOM,مورد UOM
Item Website Specification,مشخصات وب سایت مورد
Item Website Specifications,مشخصات وب سایت مورد
Item Wise Tax Detail ,قلم دوم از اقلام مالیاتی عاقلانه جزئیات
Item classification.,طبقه بندي مورد.
Item must have 'Has Serial No' as 'Yes',مورد 'است شماره سریال' به عنوان 'بلی' را باید
Item to be manufactured or repacked,مورد را برای تولید و یا repacked
Item will be saved by this name in the data base.,مورد با این نام در پایگاه داده ذخیره خواهد شد.
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.",مورد گارانتی، جزئیات AMC (قرارداد نگهداری سالانه) به طور خودکار برداشته می شود هنگامی که شماره سریال انتخاب شده است.
Item-wise Last Purchase Rate,Item-wise آخرین نرخ خرید
Item-wise Price List Rate,نرخ لیست قیمت item-wise
Item-wise Purchase History,تاریخ خرید item-wise
Item-wise Purchase Register,ثبت نام خرید item-wise
Item-wise Sales History,Item-wise تاریخ فروش
Item-wise Sales Register,ثبت نام item-wise فروش
Items,موارد
Items To Be Requested,موارد درخواست شود
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty",پیش بینی موارد درخواست می شود که \""از بورس\"" با توجه به تمام انبارها بر اساس تعداد و حداقل تعداد سفارش
Items which do not exist in Item master can also be entered on customer's request,مواردی که در مورد استاد وجود ندارد نیز می تواند در صورت درخواست مشتري وارد شود
